단축코드,한글 종목약명,시장구분
081660,미스토홀딩스,P
002840,미원상사,P
268280,미원에스씨,P
107590,미원홀딩스,P
134380,미원화학,P
351020,미쥬,X
003650,미창석유,P
059090,미코,Q
201490,미투온,Q
475460,미트박스,Q
452200,민테크,Q
206640,바디텍메드,Q
035620,바른손이앤에이,Q
354390,바스칸바이오제약,X
053030,바이넥스,Q
301300,바이브컴퍼니,Q
377740,바이오노트,P
064550,바이오니아,Q
314930,바이오다인,Q
489460,바이오비쥬,Q
086820,바이오솔루션,Q
038460,바이오스마트,Q
251120,바이오에프디엔씨,Q
199730,바이오인프라,Q
266470,바이오인프라생명과학,X
289170,바이오텐,X
086040,바이오톡스텍,Q
188040,바이오포트,Q
199290,바이오프로테크,X
099430,바이오플러스,Q
032980,바이온,Q
308080,바이젠셀,Q
043150,바텍,Q
323990,박셀바이오,Q
003610,방림,P
267790,배럴,Q
046310,백금T&A,Q
035150,백산,P
331520,밸로프,Q
199480,뱅크웨어글로벌,Q
438700,버넥트,Q
066410,버킷스튜디오,Q
002410,범양건영,P
382900,범한퓨얼셀,Q
206400,베노티앤알,Q
019010,베뉴지,Q
177350,베셀,Q
457600,벡트,Q
424760,벨로크,Q
007210,벽산,P
250000,보라티알,Q
002760,보락,P
003850,보령,P
310210,보로노이,Q
006910,보성파워텍,Q
0010F0,보원케미칼,Q
000890,보해양조,P
226340,본느,Q
496320,본시스템즈,X
206950,볼빅,X
008470,부스타,Q
003000,부광약품,P
001275,부국증권우,P
001270,부국증권,P
026940,부국철강,P
014470,부방,Q
011390,부산산업,P
005030,부산주공,P
338220,뷰노,Q
100120,뷰웍스,Q
406820,뷰티스킨,Q
099390,브레인즈컴퍼니,Q
064480,브리지텍,Q
365900,브이씨,Q
089970,브이엠,Q
251630,브이원텍,Q
018290,브이티,Q
478560,블랙야크아이앤씨,Q
006740,블루산업개발,P
439580,블루엠텍,Q
033560,블루콤,Q
191600,블루탑,X
369370,블리츠웨이엔터테인먼트,Q
126340,비나텍,Q
121800,비덴트,Q
082800,비보존 제약,Q
318410,비비씨,Q
002070,비비안,P
100220,비상교육,P
419540,비스토스,Q
146320,비씨엔씨,Q
200780,비씨월드제약,Q
413640,비아이매트릭스,Q
141000,비아트론,Q
090460,비에이치,P
083650,비에이치아이,Q
0068Y0,비엔케이제3호스팩,Q
065170,비엘팜텍,Q
086670,비엠티,Q
230980,비유테크놀러지,Q
126600,BGF에코머티리얼즈,Q
488900,비츠로넥스텍,Q
082920,비츠로셀,Q
054220,비츠로시스,Q
042370,비츠로테크,Q
050090,비케이홀딩스,Q
148780,비큐AI,Q
307870,비투엔,Q
377030,비트맥스,Q
032850,비트컴퓨터,Q
049470,비트플래닛,Q
238200,비피도,Q
093190,빅솔론,Q
065450,빅텍,Q
044480,빌리언스,Q
005180,빙그레,P
069540,빛과전자,Q
072950,빛샘전자,Q
451250,삐아,Q
143240,사람인,Q
466410,사이냅소프트,Q
003960,사조대림,P
008040,사조동아원,P
007160,사조산업,P
014710,사조씨푸드,P
006090,사조오양,P
223310,사토시홀딩스,Q
452430,사피엔반도체,Q
419120,산돌,Q
062040,산일전기,P
122350,삼기,Q
419050,삼기에너지솔루션즈,Q
014970,삼륭물산,Q
005610,삼립,P
018310,삼목에스폼,Q
012210,삼미금속,Q
053700,삼보모터스,Q
009620,삼보산업,Q
023600,삼보판지,Q
001470,삼부토건,P
028050,삼성E&A,P
448730,삼성FN리츠,P
006405,삼성SDI우,P
006400,삼성SDI,P
006660,삼성공조,P
0044K0,삼성스팩10호,Q
0071M0,삼성스팩11호,Q
0096B0,삼성스팩12호,Q
0115H0,삼성스팩13호,Q
02826K,삼성물산우B,P
028260,삼성물산,P
207940,삼성바이오로직스,P
032830,삼성생명,P
018260,삼성에스디에스,P
0126Z0,삼성에피스홀딩스,P
009155,삼성전기우,P
009150,삼성전기,P
005935,삼성전자우,P
005930,삼성전자,P
001360,삼성제약,P
010140,삼성중공업,P
016360,삼성증권,P
068290,삼성출판사,P
029780,삼성카드,P
000815,삼성화재우,P
000810,삼성화재,P
006110,삼아알미늄,P
009300,삼아제약,Q
0120G0,삼양바이오팜,P
145995,삼양사우,P
145990,삼양사,P
003230,삼양식품,P
482630,삼양엔씨켐,Q
484590,삼양컴텍,Q
036670,삼양케이씨아이,Q
272550,삼양패키징,P
000070,삼양홀딩스,P
060310,3S,Q
002810,삼영무역,P
003720,삼영,P
361670,삼영에스앤씨,Q
054540,삼영엠텍,Q
065570,삼영이엔씨,Q
005680,삼영전자,P
023000,삼원강재,P
004380,삼익THK,P
002450,삼익악기,P
014950,삼익제약,Q
032280,삼일,Q
002290,삼일기업공사,Q
004440,삼일씨엔에스,P
000520,삼일제약,P
009770,삼정펄프,P
037460,삼지전자,Q
032750,삼진,Q
0013V0,삼진식품,Q
054090,삼진엘앤디,Q
005500,삼진제약,P
000250,삼천당제약,Q
004690,삼천리,P
024950,삼천리자전거,Q
038500,삼표시멘트,Q
437730,삼현,Q
017480,삼현철강,Q
